username,artist,album,song,date
Nuwanda66,Joe Bonamassa,Driving Towards The Daylight,Dislocated Boy,25 Jan 2013 02:37
Nuwanda66,Tommy Castro,Can't Keep A Good Man Down,Can't Keep A Good Man Down,06 Mar 2012 12:01
Nuwanda66,Beefeaters,Beefeaters / Meet You There,I Want You,23 Sep 2011 16:42
Nuwanda66,Wishbone Ash,Wishbone Ash,Blind Eye,23 Sep 2011 16:38
Nuwanda66,Buddy Guy,Blues Singer,Can't See Baby,23 Sep 2011 16:32
Nuwanda66,Albert Collins Robert Cray & Johnny Copeland,,T-Bone Shuffle,23 Sep 2011 16:27
Nuwanda66,Albert Cummings,Working Man,Workin' Man Blues,23 Sep 2011 16:23
Nuwanda66,Tedeschi Trucks Band,Revelator,Ball and Chain,23 Sep 2011 16:19
Nuwanda66,Joanne Shaw Taylor,Bluescaravan,Going Home,23 Sep 2011 16:14
Nuwanda66,Joni Mitchell,Wild Things Run Fast,Moon At The Window,23 Sep 2011 16:10
Nuwanda66,Oscar Peterson,Soul Español,Samba De Orfeu,23 Sep 2011 16:06
Nuwanda66,Duke Robillard,New Blues for Modern Man,Love Sick,23 Sep 2011 15:58
Nuwanda66,Tom Petty,Greatest Hits,Runnin' Down A Dream,23 Sep 2011 15:53
Nuwanda66,Electric Light Orchestra,Discovery,On the Run,23 Sep 2011 15:49
Nuwanda66,Popa Chubby,,The Wind Cries Mary,23 Sep 2011 15:43
Nuwanda66,Shirley Bassey,Greatest Hits,Big Spender,23 Sep 2011 15:41
Nuwanda66,Buddy Guy,Damn Right I've Got The Blues,Rememberin' Stevie,23 Sep 2011 15:34
Nuwanda66,Stacey Kent,The Boy Next Door,Ooh-Shoo-Be-Doo-Bee,23 Sep 2011 15:31
Nuwanda66,Johnny Winter,The Progressive Blues Experiment,Help Me,23 Sep 2011 15:23
Nuwanda66,Eric Clapton,The Cream of Clapton,After Midnight,23 Sep 2011 15:20
Nuwanda66,Joe Bonamassa,Dust Bowl,Sweet Rowena,23 Sep 2011 15:15
Nuwanda66,Roger Waters,Amused to Death,Amused to Death,23 Sep 2011 15:06
Nuwanda66,B.B. King & Eric Clapton,Riding with the King,Ten Long Years,23 Sep 2011 15:02
Nuwanda66,Jeff Beck,Truth,Rock My Plimsoul,23 Sep 2011 14:58
Nuwanda66,Van Morrison,Moondance,Caravan,23 Sep 2011 14:49
Nuwanda66,B.B. King,King of the Blues (disc 1),Three O'Clock Blues,23 Sep 2011 14:46
Nuwanda66,Fenton Robinson,Somebody Loan Me a Dime,You Don't Know What Love Is,23 Sep 2011 14:42
Nuwanda66,Jonny Lang,Long Time Coming,Touch,23 Sep 2011 14:38
Nuwanda66,Lucky Peterson,Move,Tin Pan Alley,23 Sep 2011 14:30
Nuwanda66,Glenn Frey,Strange Weather -1992,A Walk In The Dark,23 Sep 2011 14:25
Nuwanda66,The Jeff Healey Band,Feel This,It Could All Get Blown Away,23 Sep 2011 14:20
Nuwanda66,Muse,Origin of Symmetry,Feeling Good,23 Sep 2011 14:15
Nuwanda66,Vanilla Fudge,The Best of Vanilla Fudge,You Keep Me Hanging On,23 Sep 2011 14:07
Nuwanda66,Mike Batt,The Very Best Of,The Ride To Agadir,23 Sep 2011 14:01
Nuwanda66,Roger Waters,Amused to Death,Perfect Sense Part II,23 Sep 2011 13:58
Nuwanda66,B.B. King & Eric Clapton,Riding with the King,Ten Long Years,23 Sep 2011 13:53
Nuwanda66,Steve Miller Band,The Steve Miller Band,Fly Like an Eagle,23 Sep 2011 13:48
Nuwanda66,Bruce Hornsby & the Range,Greatest Radio Hits,Across the River,23 Sep 2011 13:43
Nuwanda66,Popa Chubby,,The Wind Cries Mary,23 Sep 2011 13:38
Nuwanda66,Aerosmith,Aerosmith,Dream On,23 Sep 2011 13:33
Nuwanda66,The Paladins,Years Since Yesterday,Going Down to Big Mary's,23 Sep 2011 13:30
Nuwanda66,Tool,Ænima,Stinkfist,23 Sep 2011 13:25
Nuwanda66,Tom Waits,Rain Dogs,Singapore,23 Sep 2011 13:23
Nuwanda66,AC/DC,The Best (disc 1),Gone Shootin',08 Apr 2011 03:25
Nuwanda66,Stefan Gwildis,Heut ist der Tag,Heut ist der Tag,08 Apr 2011 03:04
Nuwanda66,Don Henley,Actual Miles,Dirty Laundry,05 Mar 2010 12:11
Nuwanda66,Albert King,King Of The Blues Guitar,Personal Manager,29 Sep 2009 17:37
Nuwanda66,Nancy Sinatra,The Essential Nancy Sinatra,These Boots Are Made for Walkin',29 Sep 2009 17:29
Nuwanda66,Louis Armstrong,The Ultimate Collection,Mack the Knife,29 Sep 2009 17:27
Nuwanda66,Jefferson Airplane,Surrealistic Pillow,Embryonic Journey,29 Sep 2009 17:25
Nuwanda66,Johnny Cash,American IV: The Man Comes Around,Desperado,29 Sep 2009 17:21
Nuwanda66,Deep Purple,Deepest Purple: The Very Best of Deep Purple,Fireball,29 Sep 2009 17:16
Nuwanda66,Jefferson Airplane,After Bathing At Baxter's,Rejoyce,29 Sep 2009 17:03
Nuwanda66,The Doors,Greatest Hits,L.A. Woman,29 Sep 2009 16:55
Nuwanda66,Charlie Feathers,Honky tonk man,In the pines,29 Sep 2009 16:52
Nuwanda66,The Kooks,Inside In Inside Out,She Moves in Her Own Way,29 Sep 2009 16:45
Nuwanda66,Iggy Pop,Lust For Life,The Passenger,29 Sep 2009 16:30
Nuwanda66,The Prodigy,,Warrior's Dance,29 Sep 2009 16:23
Nuwanda66,The Coasters,Quentin Tarantino's Death Proof,Down in Mexico,29 Sep 2009 16:19
Nuwanda66,Bernard Herrmann,OST Kill Bill,Twisted Nerve,29 Sep 2009 16:17
Nuwanda66,Blind Willie Johnson,Sweeter as the Years Go By,Let Your Light Shine On Me,01 Sep 2009 16:50
Nuwanda66,Johnny Winter,Johnny Winter,Back Door Friend,01 Sep 2009 16:47
Nuwanda66,Van Morrison,Days Like This,Days Like This,01 Sep 2009 16:44
Nuwanda66,Albert King,King Of The Blues Guitar,Born Under a Bad Sign,01 Sep 2009 16:41
Nuwanda66,Marillion,Clutching At Straws,Just for the Record,01 Sep 2009 16:37
Nuwanda66,David Gilmour,On An Island -UK Only,On an Island,01 Sep 2009 16:31
Nuwanda66,Eric Sardinas,Eric Sardinas and Big Motor,As The Crow Flies,01 Sep 2009 16:24
Nuwanda66,The Rolling Stones,Sticky Fingers,Wild Horses,01 Sep 2009 16:19
Nuwanda66,Johnny Cash,American IV: The Man Comes Around,Personal Jesus,19 Jun 2009 11:05
Nuwanda66,Eminem,,My Mom,12 Jun 2009 10:30
Nuwanda66,Eminem,,Crack a Bottle,12 Jun 2009 10:17
Nuwanda66,Alabama 3,Exile on Coldharbour Lane,Speed of the Sound of Loneliness,10 Jun 2009 11:33
Nuwanda66,Joy Division,Unknown Pleasures,She's Lost Control,05 May 2009 10:33
Nuwanda66,Creedence Clearwater Revival,Platinum,Who'll Stop the Rain,05 May 2009 10:31
Nuwanda66,April March,Paris in April,Poor Lola,05 May 2009 10:28
Nuwanda66,The Rolling Stones,Goats Head Soup,Angie,05 May 2009 10:24
Nuwanda66,Johnny Cash,Super Hits,Ring of Fire,05 May 2009 10:21
Nuwanda66,AC/DC,'74 Jailbreak,Jailbreak,05 May 2009 10:16
Nuwanda66,The Who,My Generation - The Very Best of The Who,Pictures of Lily,05 May 2009 10:14
Nuwanda66,Shivaree,Who's Got Trouble?,I Will Go Quietly,05 May 2009 10:09
Nuwanda66,The Doors,Greatest Hits,Hello I Love You,05 May 2009 10:06
Nuwanda66,Elvis Presley,Elvis: 30 #1 Hits,In the Ghetto,05 May 2009 10:03
Nuwanda66,Rammstein,Rosenrot,Mann gegen Mann,09 Apr 2009 09:51
Nuwanda66,Rammstein,Sehnsucht,Engel,08 Apr 2009 10:52
Nuwanda66,Thievery Corporation,The Richest Man in Babylon,Until the Morning,08 Apr 2009 10:48
Nuwanda66,Massive Attack,Collected,Teardrop,08 Apr 2009 10:44
Nuwanda66,The Coasters,Quentin Tarantino's Death Proof,Down in Mexico,08 Apr 2009 10:40
Nuwanda66,Smith,A Group Called Smith,The Weight,08 Apr 2009 10:39
Nuwanda66,Amy Winehouse,Back to Black (Deluxe Edition),Back to Black,08 Apr 2009 10:39
Nuwanda66,Bernard Herrmann,OST Kill Bill,Twisted Nerve,08 Apr 2009 10:39
Nuwanda66,Johnny Cash,American IV: The Man Comes Around,Hurt,08 Apr 2009 10:36
Nuwanda66,Creedence Clearwater Revival,Platinum,Fortunate Son,08 Apr 2009 10:34
Nuwanda66,Joe Tex,The Very Best of Joe Tex,The Love You Save (May Be Your Own),08 Apr 2009 10:30
Nuwanda66,George Baker Selection,George Baker 25 Years,Little Green Bag,08 Apr 2009 10:28
Nuwanda66,Silbermond,Zeit für Optimisten,Zeit für Optimisten,08 Apr 2009 10:06
Nuwanda66,sub7even,Weatherman,Wicked,27 Mar 2009 08:05
Nuwanda66,Dave Hole,Rough Diamond,I'll Get to You,20 Mar 2009 12:28
Nuwanda66,3 Doors Down,3 Doors Down,It's Not My Time,13 Mar 2009 10:55
Nuwanda66,3 Doors Down,3 Doors Down,It's Not My Time,13 Mar 2009 10:51
Nuwanda66,3 Doors Down,Away From the Sun,Away from the Sun,13 Mar 2009 10:47
Nuwanda66,3 Doors Down,Away From the Sun,When I'm Gone,13 Mar 2009 10:42
Nuwanda66,3 Doors Down,Away From the Sun,Here Without You,13 Mar 2009 10:35
Nuwanda66,Paul van Dyk,Reflections,Time of Our Lives,13 Mar 2009 10:06
Nuwanda66,Stevie Ray Vaughan and Double Trouble,Texas Flood,Tin Pan Alley (aka Roughest Place In Town),09 Mar 2009 15:28
Nuwanda66,Stevie Ray Vaughan and Double Trouble,Couldn't Stand The Weather,Voodoo Child (Slight Return),09 Mar 2009 15:19
Nuwanda66,Stevie Ray Vaughan and Double Trouble,Srv,Leave My Girl Alone (Live),09 Mar 2009 15:14
Nuwanda66,Stevie Ray Vaughan and Double Trouble,Live Alive,Superstition (Live),09 Mar 2009 15:05
Nuwanda66,Stevie Ray Vaughan and Double Trouble,Texas Flood,Lenny,09 Mar 2009 15:00
Nuwanda66,Stevie Ray Vaughan and Double Trouble,In Step,Wall Of Denial,09 Mar 2009 14:54
Nuwanda66,Stevie Ray Vaughan and Double Trouble,Soul To Soul,Ain't Gone 'N' Give Up On Love,09 Mar 2009 14:47
Nuwanda66,Popa Chubby,Booty And The Beast,Palace Of The King,09 Mar 2009 11:38
Nuwanda66,Popa Chubby,Booty And The Beast,Sweet Goddess Of Love And Beer,09 Mar 2009 11:16
Nuwanda66,Popa Chubby,Booty And The Beast,Stoop Down Baby,09 Mar 2009 11:11
Nuwanda66,Nickelback,All The Right Reasons,If Everyone Cared,09 Mar 2009 11:07
Nuwanda66,Reamonn,Beautiful Sky,Beautiful Sky,09 Mar 2009 10:57
Nuwanda66,Gary Moore,Still Got the Blues,Midnight Blues,09 Mar 2009 10:47
Nuwanda66,Kosheen,Resist,Catch,09 Mar 2009 10:39
Nuwanda66,Robben Ford,Truth,Lateral Climb,09 Mar 2009 10:21
Nuwanda66,Joe Bonamassa,,One of These Days (Live),09 Mar 2009 10:14
Nuwanda66,Joe Bonamassa,,Asking Around for You (Live),09 Mar 2009 10:06
Nuwanda66,Joe Bonamassa,,Sloe Gin (Live),09 Mar 2009 09:58
Nuwanda66,Joe Bonamassa,,High Water Everywhere (Live),09 Mar 2009 09:43
Nuwanda66,Joe Bonamassa,,Woke Up Dreaming (Live),09 Mar 2009 09:34
Nuwanda66,Joe Bonamassa,A New Day Yesterday,Miss You Hate You,09 Mar 2009 09:25
Nuwanda66,Joe Bonamassa,A New Day Yesterday,Current Situation,09 Mar 2009 09:21
Nuwanda66,Joe Bonamassa,,Headaches To Heartbreaks,09 Mar 2009 09:04
Nuwanda66,Joe Bonamassa,,Nuthin' I Wouldn't Do,09 Mar 2009 08:59
Nuwanda66,Joe Bonamassa,,Miss You Hate You (Rock Radio Remix),09 Mar 2009 08:53
Nuwanda66,Joe Bonamassa,A New Day Yesterday,I Know Where I Belong,09 Mar 2009 08:48
Nuwanda66,Joe Bonamassa,A New Day Yesterday,A New Day Yesterday,09 Mar 2009 08:43
Nuwanda66,Joe Bonamassa,,Walk In My Shadow,09 Mar 2009 08:39
Nuwanda66,Joe Bonamassa,A New Day Yesterday,Cradle Rock,09 Mar 2009 08:35
Nuwanda66,Jefferson Airplane,Volunteers,Volunteers,09 Mar 2009 08:31
Nuwanda66,David Gilmour,On An Island -UK Only,On an Island,09 Mar 2009 08:24
Nuwanda66,Rick Wright,Broken China,Interlude,09 Mar 2009 08:23
Nuwanda66,Coldplay,Viva la Vida or Death and All His Friends,Death and All His Friends,09 Mar 2009 08:06
Nuwanda66,Coldplay,Viva la Vida or Death and All His Friends,Strawberry Swing,09 Mar 2009 08:01
Nuwanda66,Coldplay,Violet Hill,Violet Hill,09 Mar 2009 07:57
Nuwanda66,Coldplay,Viva la Vida or Death and All His Friends,Viva la Vida,09 Mar 2009 07:53
Nuwanda66,Coldplay,Viva la Vida or Death and All His Friends,Yes,09 Mar 2009 07:46
Nuwanda66,Coldplay,Viva la Vida or Death and All His Friends,Lovers in Japan,09 Mar 2009 07:39
Nuwanda66,Coldplay,Viva la Vida or Death and All His Friends,42,09 Mar 2009 07:35
Nuwanda66,Coldplay,Viva la Vida or Death and All His Friends,Lost!,09 Mar 2009 07:31
Nuwanda66,Coldplay,Viva la Vida or Death and All His Friends,Cemeteries of London,09 Mar 2009 07:27
Nuwanda66,Coldplay,A Rush of Blood to the Head,Clocks,09 Mar 2009 07:21
Nuwanda66,Dire Straits,Dire Straits,Water of Love,09 Mar 2009 07:09
Nuwanda66,Reamonn,,Faith,09 Mar 2009 06:50
Nuwanda66,Reamonn,Beautiful Sky,Beautiful Sky,09 Mar 2009 06:41
Nuwanda66,Reamonn,Beautiful Sky,Intro,09 Mar 2009 06:38
Nuwanda66,Reamonn,Wish,Serpentine,09 Mar 2009 06:34
Nuwanda66,John Lee Hooker,Giant Of Blues,Want Ad Blues,06 Mar 2009 10:38
Nuwanda66,John Lee Hooker,Giant Of Blues,Time Is Marchin',06 Mar 2009 10:35
Nuwanda66,John Lee Hooker,Chill Out,Serves Me Right to Suffer,06 Mar 2009 10:31
Nuwanda66,John Lee Hooker,Chill Out,One Bourbon One Scotch One Beer,06 Mar 2009 10:26
Nuwanda66,Joe Bonamassa,Had To Cry Today,Reconsider Baby,06 Mar 2009 10:18
Nuwanda66,Edwin Starr,I Heard It Through The Grapevine/War,War (King Britt Remix),06 Mar 2009 10:11
Nuwanda66,Edwin Starr,War & Peace,Time,06 Mar 2009 10:07
Nuwanda66,Edwin Starr,The Very Best Of Edwin Starr,Twenty Five Miles,06 Mar 2009 10:04
Nuwanda66,Edwin Starr,Essential Collection,Contact,06 Mar 2009 10:00
Nuwanda66,Edwin Starr,Edwin Star Collection,25 Miles,06 Mar 2009 09:57
Nuwanda66,Van Morrison,The Best of Van Morrison,Moondance,06 Mar 2009 09:35
Nuwanda66,Judas Priest,Screaming for Vengeance,You've Got Another Thing Comin',06 Mar 2009 08:53
Nuwanda66,David Gilmour,On An Island -UK Only,Red Sky at Night,06 Mar 2009 08:25
